product_id,sku,activity,brochure,category_gear,climate,color,color_jewelry,country_of_manufacture,customer_group,description,diamond_quality,eco_collection,erin_recommends,features_bags,features_html,flag_color,flag_text,gender,gift_message_available,image,image_label,is_new_product,is_recommended,long_specifications,material,meta_description,meta_keyword,meta_title,metal_purity,msrp_display_actual_price_type,name,new,options_container,page_layout,pattern,performance_fabric,price_type,price_view,product_brand,product_faqs,product_support,quantity_and_stock_status,sale,shipment_type,short_description,short_specifications,size,size_jewelry,sku_type,small_image,small_image_label,specifications,status,strap_bags,style_bags,style_general,swatch_image,tax_class_id,thumbnail,thumbnail_label,top_product,url_key,visibility,weight_type
1,24-MB01,,123123_1.pdf,,,49.0,,,"22,72,28,22,92,30,231","<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">&lt;p&gt;The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.&lt;p&gt;
&lt;ul&gt;
&lt;li&gt;Dual top handles.&lt;/li&gt;
&lt;li&gt;Adjustable shoulder strap.&lt;/li&gt;
&lt;li&gt;Full-length zipper.&lt;/li&gt;
&lt;li&gt;L 29"" x W 13"" x H 11"".&lt;/li&gt;
&lt;/ul&gt;</div>",,0.0,0.0,,,219.0,On Sale,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/m/b/mb01-blue-0.jpg,Image,,1.0,"<div class=""article""> <div class=""moretext""> <div class=""col-lg-12 ""> <div class=""stext pt-2""> <h5><b>Capacity</b></h5> </div> <ul class=""spec1""> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> </ul> <hr> </div> <div class=""col-lg-12 ""> <div class=""stext pt-2 ""> <h5><b>Physical specification</b></h5> </div> <ul class=""spec1""> <li> <h6>Net Width(mm)</h6> <h5>555 mm</h5> </li> <li> <h6>Net Case Height with Hinge(mm)</h6> <h5>1545 mm</h5> </li> <li> <h6>Net Depth with Door Handle(mm)</h6> <h5>637 mmL</h5> </li> <li> <h6>Net Depth without Door Handle(mm)</h6> <h5>637 mm</h5> </li> </ul> <hr> </div> <div class=""col-lg-12 ""> <div class=""stext pt-2 ""> <h5><b>Freezer Feature</b></h5> </div> <ul class=""spec1""> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> <li> <h6>Net Total(Liter)</h6> <h5>236 L</h5> </li> </ul> </div> </div> </div>",,,"hoodie,hoodies for men,bape hoodie,sweatshirt,nike hoodie,black hoodie,nike sweatshirt",,,0.0,Joust Duffle Bag,0.0,container1,,,0.0,,,1,,123123.pdf,,0.0,,,"<div class=""row pt-3 pb-3"">
   <div class=""col-lg-12"">
      <h2 class=""title text-center"">Specifications</h2>
      <div class=""col-lg-12 pt-4 "">
         <ul class=""spec"">
            <li>
               <h6>Net Total(Liter)</h6>
               <h5><b>236 L</b></h5>
            </li>
            <li>
               <h6>Net Total(Liter)</h6>
               <h5><b>236 L</b></h5>
            </li>
            <li>
               <h6>Net Total(Liter)</h6>
               <h5><b>236 L</b></h5>
            </li>
            <li>
               <h6>Net Total(Liter)</h6>
               <h5><b>236 L</b></h5>
            </li>
            <li>
               <h6>Net Total(Liter)</h6>
               <h5><b>236 L</b></h5>
            </li>
         </ul>
      </div>
   </div>
</div>",,,,/m/b/mb01-blue-0.jpg,Image,"22,02,21,222",2,,,,,0.0,/m/b/mb01-blue-0.jpg,Image,1.0,joust-duffle-bag,4,
2,24-MB04,"11,21,23,18",,,,49.0,,,229,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p>
<ul>
<li>Zippered main compartment.</li>
<li>Front zippered pocket.</li>
<li>Side mesh pocket.</li>
<li>Cell phone pocket on strap.</li>
<li>Adjustable shoulder strap and top carry handle.</li>
</ul>",,0.0,1.0,"72,74,75,78",,217.0,ffss,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/m/b/mb04-black-0.jpg,Image,,1.0,,"32,33,36,38",,,,,0.0,Strive Shoulder Pack 12,0.0,container2,,,0.0,,,"2,3",,,,1.0,,,,,,,/m/b/mb04-black-0.jpg,Image,,1,"61,62,65,66,67","27,29,30",,,2.0,/m/b/mb04-black-0.jpg,Image,0.0,strive-shoulder-pack,4,
3,24-MB03,"11,18,19,20,21,22,23",,,,49.0,,,230,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p>
<ul>
<li>Top handle.</li>
<li>Grommet holes.</li>
<li>Two-way zippers.</li>
<li>H 20"" x W 14"" x D 12"".</li>
<li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li>
<ul>",,0.0,0.0,"72,74,75,77,78",,,,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/m/b/mb03-black-0.jpg,Image,,1.0,,"37,38",,,,,0.0,Crown Summit Backpack,0.0,container2,,,0.0,,,,,,,0.0,,,,,,,/m/b/mb03-black-0.jpg,Image,,2,"61,64,65",24,,,2.0,/m/b/mb03-black-0.jpg,Image,1.0,crown-summit-backpack,4,
4,24-MB05,"11,19,22",,,,49.0,,,231,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p>
<ul>
<li>Multiple internal zip pockets.</li>
<li>Made of durable nylon.</li>
</ul>",,0.0,0.0,"74,75,77,78,79",,,,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/m/b/mb05-black-0.jpg,Image,,1.0,,"37,38",,,,,0.0,Wayfarer Messenger Bag,1.0,container2,,,0.0,,,,,,,0.0,,,,,,,/m/b/mb05-black-0.jpg,Image,,2,"61,63,64,65,66","27,28",,,2.0,/m/b/mb05-black-0.jpg,Image,1.0,wayfarer-messenger-bag,4,
5,24-MB06,"22,23",,,,49.0,,,,"<p>The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.</p>
<ul>
<li>Leather construction.</li>
<li>Adjustable fabric carry strap.</li>
<li>Dimensions: 18"" x 10"" x 4"".</li>
</ul>",,0.0,0.0,"73,75,78",,,,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/m/b/mb06-gray-0.jpg,Image,,1.0,,"35,37,41",,,,,0.0,Rival Field Messenger,1.0,container2,,,0.0,,,,,,,0.0,,,,,,,/m/b/mb06-gray-0.jpg,Image,,2,"61,62,66,67","27,28,29",,,2.0,/m/b/mb06-gray-0.jpg,Image,1.0,rival-field-messenger,4,
6,24-MB02,"18,20,8",,,,49.0,,,,"<p>With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.</p>
<ul>
<li>Durable nylon construction.</li>
<li>2 main zippered compartments.</li>
<li>1 exterior zippered pocket.</li>
<li>Mesh side pouches.</li>
<li>Padded, adjustable straps.</li>
<li>Top carry handle.</li>
<li>Dimensions: 18"" x 10"" x 6"".</li>
</ul>",,0.0,0.0,"71,72,74,75",,,,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/m/b/mb02-gray-0.jpg,Image,,1.0,,"31,37,38",,,,,0.0,Fusion Backpack,0.0,container2,,,0.0,,,,,,,0.0,,,,,,,/m/b/mb02-gray-0.jpg,Image,,2,"61,64,65","24,28",,,2.0,/m/b/mb02-gray-0.jpg,Image,1.0,fusion-backpack,4,
7,24-UB02,"11,19,22",,,,,,,,"<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p>
<ul>
<li>Wheeled.</li>
<li>Dual carry handles.</li>
<li>Retractable top handle.</li>
<li>W 14"" x H 26"" x D 11"".</li>
</ul>",,,,"70,76,79",,,,,,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/u/b/ub02-black-0.jpg,,,1.0,,"37,38",,,,,0.0,Impulse Duffle,,container2,,,,,,,,,,,,,,,,,/u/b/ub02-black-0.jpg,,,1,"61,64,68","25,26",,,2.0,/u/b/ub02-black-0.jpg,,1.0,impulse-duffle,4,
8,24-WB01,"11,8",,,,,,,,"<p>Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.</p>
<ul>
<li>Slip pocket on front.</li>
<li>Contrast piping.</li>
<li>Durable nylon construction.</li>
</ul>",,,,"74,77,79",,,,,,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/w/b/wb01-black-0.jpg,,,,,"37,38",,,,,0.0,Voyage Yoga Bag,,container2,,,,,,,,,,,,,,,,,/w/b/wb01-black-0.jpg,,,1,"64,66","29,30",,,2.0,/w/b/wb01-black-0.jpg,,,voyage-yoga-bag,4,
9,24-WB02,"11,20,8",,,,49.0,,,,"<p>The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.<p>
<ul>
<li>Two-way zippers.</li>
<li>Contrast detailing.</li>
<li>W 22.0"" x H 17"" x D 10"".</li>
</ul>",,0.0,0.0,"74,75,77",,,,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/w/b/wb02-green-0.jpg,Image,,,,"37,38,39",,,,,0.0,Compete Track Tote,,container2,,,0.0,,,,,,,0.0,,,,,,,/w/b/wb02-green-0.jpg,Image,,1,"61,64,66","29,30",,,2.0,/w/b/wb02-green-0.jpg,Image,1.0,compete-track-tote,4,
10,24-WB05,"11,8",,,,49.0,,,227,"<p>Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.</p>
<ul>
<li>Water-resistant shell.</li>
<li>Water bottle pocket.</li>
<li>Padded, articulating shoulder strap.</li>
<li>Dimensions: W 21"" x H 15"" x D 10"".</li>
</ul>",,0.0,1.0,"72,75",,,,,0.0,https://dx2ctuk6q6hvo.cloudfront.net/recommendation_system/w/b/wb05-red-0.jpg,Image,,0.0,,,,,,,0.0,Savvy Shoulder Tote,0.0,container2,,,0.0,,,,,,,1.0,,,,,,,/w/b/wb05-red-0.jpg,Image,,1,"61,62,66,67","29,30",,,2.0,/w/b/wb05-red-0.jpg,Image,0.0,savvy-shoulder-tote,4,
